dev_id,datetime,battery,batteryDiff,soilMoisture,soilMoistureDiff,temperature,temperatureDiff
smt100a-0b09,2023-10-05 04:00:00,5.45,,11.9,,-273.15,
smt100a-0b09,2023-11-15 22:00:00,4.871,-0.0660000000000007,18.8,-0.1000000000000014,-273.15,0.0
smt100a-0b09,2023-11-15 23:00:00,4.791,-0.0029999999999992,18.7,0.0,-273.15,0.0
smt100a-0b09,2023-11-16 00:00:00,4.797,-0.0070000000000005,18.59,-0.1099999999999994,-273.15,0.0
smt100a-0b09,2023-11-16 01:00:00,4.814,0.0030000000000001,18.57,-0.0199999999999995,-273.15,0.0
smt100a-0b09,2023-11-16 02:00:00,4.82,0.0010000000000003,18.46,-0.0999999999999978,-273.15,0.0
smt100a-0b09,2023-11-16 03:00:00,4.82,-0.0089999999999994,18.54,0.0999999999999978,-273.15,0.0
smt100a-0b09,2023-11-16 04:00:00,4.832,0.0030000000000001,18.34,-0.1000000000000014,-273.15,0.0
smt100a-0b09,2023-11-16 05:00:00,4.832,-0.0030000000000001,18.34,0.0,-273.15,0.0
smt100a-0b09,2023-11-16 06:00:00,4.836,-0.0019999999999997,18.24,-0.1000000000000014,-273.15,0.0
smt100a-0b09,2023-11-16 07:00:00,4.833,-0.0019999999999997,18.15,0.0,-273.15,0.0
smt100a-0b09,2023-11-16 08:00:00,4.833,-0.0030000000000001,18.06,-0.1000000000000014,-273.15,0.0
smt100a-0b09,2023-11-16 09:00:00,4.835,0.0049999999999998,18.08,0.0199999999999995,-273.15,0.0
smt100a-0b09,2023-11-16 10:00:00,4.835,0.0110000000000001,17.97,0.0,-273.15,0.0
smt100a-0b09,2023-11-16 11:00:00,4.833,0.0010000000000003,17.97,0.0,-273.15,0.0
smt100a-0b09,2023-11-16 12:00:00,4.835,0.0110000000000001,17.77,-0.1000000000000014,-273.15,0.0
smt100a-0b09,2023-11-16 13:00:00,4.83,-0.0030000000000001,17.78,0.0100000000000015,-273.15,0.0
smt100a-0b09,2023-11-16 14:00:00,4.83,0.0060000000000002,17.79,0.009999999999998,-273.15,0.0
smt100a-0b09,2023-11-16 15:00:00,4.835,-0.0010000000000003,17.7,0.0,-273.15,0.0
smt100a-0b09,2023-11-16 16:00:00,4.835,0.0019999999999997,17.6,-0.0999999999999978,-273.15,0.0
smt100a-0b09,2023-11-16 17:00:00,4.833,0.0070000000000005,17.6,0.0,-273.15,0.0
smt100a-0b09,2023-11-16 18:00:00,4.824,-0.0019999999999997,17.5,-0.1000000000000014,-273.15,0.0
smt100a-0b09,2023-11-16 19:00:00,4.833,-0.0030000000000001,17.5,0.0,-273.15,0.0
smt100a-0b09,2023-11-16 20:00:00,4.833,-0.0019999999999997,17.31,-0.1000000000000014,-273.15,0.0
smt100a-0b09,2023-11-16 21:00:00,4.832,-0.0060000000000002,17.3,-0.0899999999999998,-273.15,0.0
smt100a-0b09,2023-11-16 22:00:00,4.836,0.0070000000000005,17.3,0.0,-273.15,0.0
smt100a-0b09,2023-11-16 23:00:00,4.836,0.0040000000000004,17.16,-0.0199999999999995,-273.15,0.0
smt100a-0b09,2023-11-17 00:00:00,4.833,-0.0030000000000001,17.16,0.0,-273.15,0.0
smt100a-0b09,2023-11-17 01:00:00,4.826,-0.0070000000000005,17.16,0.0,-273.15,0.0
smt100a-0b09,2023-11-17 02:00:00,4.835,0.0019999999999997,17.16,0.1000000000000014,-273.15,0.0
smt100a-0b09,2023-11-17 03:00:00,4.829,-0.0010000000000003,19.54,0.2899999999999991,-273.15,0.0
smt100a-0b09,2023-11-17 04:00:00,4.821,-0.0060000000000002,19.66,0.0100000000000015,-273.15,0.0
smt100a-0b09,2023-11-17 05:00:00,4.827,0.0010000000000003,19.67,0.0100000000000015,-273.15,0.0
smt100a-0b09,2023-11-17 06:00:00,4.816,-0.0110000000000001,19.68,0.0,-273.15,0.0
smt100a-0b09,2023-11-17 07:00:00,4.824,0.0,19.68,0.0,-273.15,0.0
smt100a-0b09,2023-11-17 08:00:00,4.827,0.0099999999999997,19.58,0.0,-273.15,0.0
smt100a-0b09,2023-11-17 09:00:00,4.814,-0.0129999999999999,19.49,-0.1000000000000014,-273.15,0.0
smt100a-0b09,2023-11-17 10:00:00,4.821,-0.0030000000000001,19.69,0.1000000000000014,-273.15,0.0
smt100a-0b09,2023-11-17 11:00:00,4.826,-0.0010000000000003,19.6,0.0100000000000015,-273.15,0.0
smt100a-0b09,2023-11-17 12:00:00,4.824,-0.0019999999999997,19.59,0.0,-273.15,0.0
smt100a-0b09,2023-11-17 13:00:00,4.824,0.0009999999999994,19.59,0.0,-273.15,0.0
smt100a-0b09,2023-11-17 14:00:00,4.811,-0.0149999999999996,19.49,0.0,-273.15,0.0
smt100a-0b09,2023-11-17 15:00:00,4.824,0.0039999999999995,19.59,0.1999999999999993,-273.15,0.0
smt100a-0b09,2023-11-17 16:00:00,4.821,0.0019999999999997,19.29,0.0,-273.15,0.0
smt100a-0b09,2023-11-17 17:00:00,4.823,0.0020000000000006,19.29,0.0,-273.15,0.0
smt100a-0b09,2023-11-17 18:00:00,4.814,0.0010000000000003,19.09,-0.1000000000000014,-273.15,0.0
smt100a-0b09,2023-11-17 19:00:00,4.811,-0.0120000000000004,19.09,0.0,-273.15,0.0
smt100a-0b09,2023-11-17 20:00:00,4.808,-0.0120000000000004,19.09,0.0,-273.15,0.0
